Study.ID,rep,study.species,density.data,density.number,measure,facilitation.data,facilitation.measure,facilitation.conclusion,common.name.benefactor,latin.name.benefactor,protégé.taxa,protégé.common.name,protégé.latin.name,richness,diversity,N.sites,n.sites,lat,lng,macrohabitat,mesohabitat,function,hypothesis,notes
233,233.09,"shrub, plant",yes,0.5,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.10,"shrub, plant",yes,0.5,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.11,"shrub, plant",yes,0.6,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.12,"shrub, plant",yes,0.4,no/site,no,"observation, measure",yes,Desert Hackberry,Celtis pallida ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.13,"shrub, plant",yes,0.7,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.14,"shrub, plant",yes,1,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.15,"shrub, plant",yes,0.9,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.16,"shrub, plant",yes,0.8,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.17,"shrub, plant",yes,2.3,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.18,"shrub, plant",yes,2.3,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.19,"shrub, plant",yes,1.7,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
233,233.20,"shrub, plant",yes,2.2,no/site,no,"observation, measure",yes,Wild Lime,Zanthoxylum fagara ,plant,Honey mesquite,Prosopis glandulosa ,,,3,30,27.6,-97.95,desert,shrub canopy,interaction,Attenuation of radiant energy and increased soil nutrients beneath P. glandulosa canopies facilitate establishment of subordinate shrubs and shrub cluster development ,Per has all major criteria for meta.
261,261.01,"shrub, tree, plant",yes,0.1,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.02,"shrub, tree, plant",yes,0.3,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.03,"shrub, tree, plant",yes,0.3,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.04,"shrub, tree, plant",yes,0.2,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.05,"shrub, tree, plant",yes,0.4,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.06,"shrub, tree, plant",yes,0.1,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.07,"shrub, tree, plant",yes,0.6,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.08,"shrub, tree, plant",yes,0.1,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
261,261.09,"shrub, tree, plant",yes,0.7,stems/m^2,no,"observation, measure",variable,,,plant,Carribean Pine,Pinus caribaea ,0.1,,2,30/15,0.56666667,30.35,forest,tree,interaction,Shrub-tree interaction will have an influence on forest succession in Uganda,Shrub species is not mentioned at all in the paper but it references shrubs constantly
273,273.01,"shrub, tree, plant",yes,1.09,no/m^2,no,"measure, percent cover",no,Sagebrush,Artemesia tridentata,plant,,,,,2,30/15,39.454888,-115.11466,desert,shrub,recovery,Removal of tree species will have an impact on the response to sagebush rebound,Paper is decent and has data needed for the meta
273,273.02,"shrub, tree, plant",yes,0.23,no/m^2,no,"measure, percent cover",no,Sagebrush,Artemesia tridentata,plant,,,,,2,30/15,39.454888,-115.11466,desert,shrub,recovery,Removal of tree species will have an impact on the response to sagebush rebound,Paper is decent and has data needed for the meta
276,276.01,"shrub, tree, plant",yes,85,% in site,no,"observation, measure",no,Wattles,Acacia spp ,plant,,,,2,4,24/35,5.33,36.37,semi-arid,shrub canopy,interaction,Does the distance to nearest conspecific and heterospecific neighbors increase with increasing size of the tree or shrub? ,Paper doesn’t mention any specific species name (latin or common). Now that ive read it again this paper seems strange.
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"count, number, observation, etc",Do they find facilitation or not? (0 or 1),,,,,,,,,,,,,,,,
,,,,,,,,,,,plant or animal,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,have they reported facil. Yes or no,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
